,num4black,num4white,0,1,2,3
F5,3.0,2.0,1.0,,,
F5F6,3.0,2.0,2.0,,,
F5F6E6,3.0,2.0,3.0,,,
F5F6E6D6,3.0,2.0,4.0,,,
F5F6E6D6D7,3.0,2.0,5.0,,,
F5F6E6D6D7G5,3.0,2.0,6.0,61.0,,
F5F6E6D6D7G5G6,3.0,1.0,7.0,,,
F5F6E6D6D7G5G6E7,3.0,1.0,8.0,,,
F5F6E6D6D7G5G6E7C5,3.0,1.0,9.0,,,
F5F6E6D6D7G5G6E7C5C4,3.0,1.0,10.0,,,
F5F6E6D6D7G5G6E7C5C4E8,3.0,1.0,11.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8,3.0,1.0,12.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7,3.0,1.0,13.0,30.0,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6,1.0,12.0,14.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6,1.0,12.0,15.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3,1.0,12.0,16.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4,1.0,12.0,17.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5,1.0,12.0,18.0,24.0,48.0,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5G8,1.0,5.0,19.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5G8F4,1.0,5.0,20.0,97.0,117.0,139.0
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5G8F4B3,1.0,1.0,21.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5G8F4B3C3,1.0,1.0,22.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5G8F4B3C3B4,1.0,1.0,23.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5G8F4B3C3B4B6,1.0,1.0,,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5B4,1.0,3.0,25.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5B4C7,1.0,3.0,26.0,185.0,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5B4C7G8,1.0,1.0,27.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5B4C7G8C8,1.0,1.0,28.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5B4C7G8C8C3,1.0,1.0,29.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5B4C7G8C8C3D3,1.0,1.0,,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8,2.0,1.0,31.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8,2.0,1.0,32.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8,2.0,1.0,33.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7,2.0,1.0,34.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7,2.0,1.0,35.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3,2.0,1.0,36.0,153.0,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4,1.0,6.0,37.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4,1.0,6.0,38.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5,1.0,6.0,39.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5C3,1.0,6.0,40.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5C3F3,1.0,6.0,41.0,54.0,110.0,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5C3F3E3,1.0,4.0,42.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5C3F3E3F2,1.0,4.0,43.0,92.0,148.0,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5C3F3E3F2A6,3.0,1.0,44.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5C3F3E3F2A6D3,3.0,1.0,45.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5C3F3E3F2A6D3C2,3.0,1.0,46.0,173.0,232.0,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5C3F3E3F2A6D3C2A5,1.0,1.0,47.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7D8C8B8G7C7B3G4F4B5C3F3E3F2A6D3C2A5A4,1.0,1.0,,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5F3,1.0,4.0,49.0,,,
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5F3H5,1.0,4.0,50.0,104.0,193.0,200.0
F5F6E6D6D7G5G6E7C5C4E8F8F7H6C6E3H4B5F3H5F4,1.0,1.0,51.0,,,
